Designator,Mid X,Mid Y
,,
J801,160.3651mm,95.758mm
CA872,154.9019mm,94.4626mm
CA861,154.9019mm,95.3516mm
CA844,154.9019mm,96.2152mm
CA842,154.9019mm,97.0788mm
LA802,157.30221mm,100.5586mm
RA832,157.94991mm,91.5416mm
JP401A,91.35001mm,263.73mm
JP501A,155.35mm,263.73mm
JP601A,219.35001mm,263.73mm
JP101A,176.65mm,161.27mm
JP301A,48.65mm,161.27mm
JP201A,112.65001mm,161.27mm
U901,102.90382mm,98.67558mm
U902,101.05332mm,112.70162mm
U903,90.21615mm,112.91524mm
J901,105.64041mm,89.1474mm
R722,68.19806mm,96.24415mm
R721,68.17541mm,98.5454mm
R740,71.47466mm,91.88805mm
U721,68.37343mm,90.90289mm
R622,86.38446mm,70.13295mm
R621,86.38721mm,72.4342mm
R640,89.53406mm,66.03085mm
U621,86.55983mm,64.79169mm
U805,70.88594mm,80.23192mm
U804,70.86054mm,67.53192mm
U803,77.94714mm,80.18112mm
J12,229.03701mm,47.7984mm
C291,222.4008mm,55.0568mm
U65,214.73mm,50.2308mm
R230,222.63621mm,48.6366mm
R231,222.477mm,44.4015mm
CA614,187.10952mm,121.17042mm
CA608,187.61752mm,119.54482mm
CA618,183.50272mm,121.14502mm
CA612,183.22331mm,122.66902mm
CA604,173.88682mm,120.26059mm
CA603,173.92492mm,118.68579mm
CA606,173.90861mm,121.4632mm
CA605,173.89591mm,123.5714mm
CA602,177.88371mm,119.2534mm
CA601,177.89641mm,120.82381mm
CA610,203.68992mm,122.57682mm
CA616,203.96932mm,121.05282mm
CA609,208.08412mm,119.45262mm
CA615,207.57612mm,121.07822mm
CA611,193.36651mm,122.64722mm
CA617,193.64592mm,121.12322mm
CA607,197.76072mm,119.52301mm
CA613,197.25272mm,121.14862mm
CA514,123.10951mm,121.17041mm
CA508,123.61751mm,119.54481mm
CA518,119.50271mm,121.14501mm
CA512,119.22331mm,122.66901mm
CA504,109.88681mm,120.26058mm
CA503,109.92492mm,118.68578mm
CA506,109.90861mm,121.46319mm
CA505,109.89591mm,123.57139mm
CA502,113.88371mm,119.25339mm
CA501,113.89641mm,120.8238mm
CA510,139.68991mm,122.57681mm
CA516,139.96931mm,121.05281mm
CA509,144.08411mm,119.45261mm
CA515,143.57611mm,121.07821mm
CA511,129.36651mm,122.64721mm
CA517,129.64591mm,121.12321mm
CA507,133.76071mm,119.523mm
CA513,133.25271mm,121.14861mm
CA414,59.10951mm,121.1704mm
CA408,59.61751mm,119.5448mm
CA418,55.50271mm,121.145mm
CA412,55.22331mm,122.669mm
CA404,45.88681mm,120.26057mm
CA403,45.92492mm,118.68577mm
CA406,45.90861mm,121.46319mm
CA405,45.89591mm,123.57139mm
CA402,49.88371mm,119.25339mm
CA401,49.89641mm,120.82379mm
CA410,75.68991mm,122.5768mm
CA416,75.96931mm,121.0528mm
CA409,80.08411mm,119.4526mm
CA415,79.57611mm,121.0782mm
CA411,65.36651mm,122.6472mm
CA417,65.64591mm,121.1232mm
CA407,69.76071mm,119.523mm
CA413,69.25271mm,121.1486mm
CA113,198.74731mm,21.8514mm
CA107,198.2393mm,23.477mm
CA117,202.35411mm,21.8768mm
CA111,202.63351mm,20.35279mm
CA115,188.42391mm,21.9218mm
CA109,187.9159mm,23.5474mm
CA116,192.03071mm,21.9472mm
CA110,192.31011mm,20.42319mm
CA101,218.10361mm,22.1762mm
CA102,218.11631mm,23.74661mm
CA105,222.10411mm,19.42861mm
CA106,222.09141mm,21.53681mm
CA103,222.0751mm,24.31423mm
CA104,222.11321mm,22.73943mm
CA112,212.77671mm,20.33099mm
CA118,212.49731mm,21.855mm
CA108,208.3825mm,23.4552mm
CA114,208.89051mm,21.8296mm
JP5,134.25001mm,135.85mm
UA805,157.73872mm,49.8349mm
RA805,157.62442mm,45.9233mm
RA806,158.55159mm,54.31807mm
RA811,124.31486mm,56.7056mm
RA810,124.10252mm,48.38854mm
UA804,124.23968mm,51.95469mm
RA808,118.29506mm,58.7249mm
RA807,156.16392mm,54.2926mm
