Designator,Mid X,Mid Y,Layer
,,,
CA846,156.05761mm,99.9363mm,B
C907,100.86521mm,109.188mm,B
C908,101.24621mm,116.5032mm,B
C912,100.94141mm,111.4486mm,B
C913,101.04301mm,114.0902mm,B
C909,88.74941mm,109.7722mm,B
C914,88.87641mm,112.4392mm,B
C901,103.28201mm,95.54398mm,B
C904,106.30461mm,98.03318mm,B
C903,101.14841mm,95.49318mm,B
C902,102.16441mm,102.70678mm,B
C905,104.70441mm,102.24958mm,B
C906,99.80221mm,99.04918mm,B
C910,108.12121mm,101.6236mm,B
R901,104.01481mm,85.7565mm,B
R902,105.99601mm,85.7565mm,B
R903,107.97721mm,85.7565mm,B
R905,111.25201mm,98.3742mm,B
C911,106.97391mm,91.7636mm,B
R904,101.32241mm,89.2363mm,B
C775,68.17313mm,92.71609mm,B
C776,69.13578mm,89.4014mm,B
C740,68.17541mm,96.234mm,B
C675,86.35952mm,66.6049mm,B
C676,87.32218mm,63.2902mm,B
C640,86.38446mm,70.13295mm,B
C835,69.74766mm,82.54614mm,B
C837,69.21244mm,78.20456mm,B
C834,69.72226mm,69.84614mm,B
C836,69.18704mm,65.50456mm,B
C832,76.80886mm,82.49534mm,B
C833,76.27364mm,78.15376mm,B
L1,222.58671mm,54.0548mm,B
L2,222.61211mm,56.0614mm,B
C292,225.62201mm,54.8422mm,B
C220,211.7963mm,50.434mm,B
C221,211.8217mm,48.6306mm,B
C289,210.0056mm,54.8155mm,B
C290,212.444mm,54.5742mm,B
C28,220.36421mm,48.797mm,B
C39,220.36421mm,51.083mm,B
RA607,187.70642mm,125.48842mm,B
RA608,185.97922mm,127.29182mm,B
RA610,182.32162mm,127.31722mm,B
RA609,184.32822mm,125.51382mm,B
RA619,189.56062mm,119.92582mm,B
RA618,180.89922mm,117.48742mm,B
RA635,180.87382mm,120.07822mm,B
UA603,185.27062mm,121.08122mm,B
RA627,187.45242mm,116.26822mm,B
RA628,186.18242mm,116.26822mm,B
RA629,184.96322mm,116.26822mm,B
RA630,183.71862mm,116.24282mm,B
UA601,175.85141mm,121.07381mm,B
RA602,171.85121mm,116.688mm,B
RA601,171.85121mm,119.1518mm,B
RA634,204.18522mm,116.15062mm,B
RA633,205.42982mm,116.17602mm,B
RA632,206.64902mm,116.17602mm,B
RA631,207.91902mm,116.17602mm,B
UA604,205.73722mm,120.98902mm,B
RA622,201.34042mm,119.98602mm,B
RA620,201.36582mm,117.39522mm,B
RA621,210.02722mm,119.83362mm,B
RA613,204.79482mm,125.42162mm,B
RA614,202.78822mm,127.22502mm,B
RA612,206.44582mm,127.19962mm,B
RA611,208.17302mm,125.39622mm,B
RA626,193.86182mm,116.22102mm,B
RA625,195.10642mm,116.24642mm,B
RA624,196.32562mm,116.24642mm,B
RA623,197.59562mm,116.24642mm,B
UA602,195.41382mm,121.05941mm,B
RA617,191.01702mm,120.05642mm,B
RA615,191.04242mm,117.46562mm,B
RA616,199.70382mm,119.90402mm,B
RA605,194.47142mm,125.49202mm,B
RA606,192.46482mm,127.29542mm,B
RA604,196.12242mm,127.27002mm,B
RA603,197.84962mm,125.46662mm,B
DA601,216.30042mm,138.87683mm,B
FA601,216.32582mm,133.84582mm,B
RA507,123.70641mm,125.48841mm,B
RA508,121.97921mm,127.29181mm,B
RA510,118.32161mm,127.31721mm,B
RA509,120.32821mm,125.51381mm,B
RA519,125.56061mm,119.92581mm,B
RA518,116.89921mm,117.48741mm,B
RA535,116.87381mm,120.07821mm,B
UA503,121.27062mm,121.08121mm,B
RA527,123.45241mm,116.26821mm,B
RA528,122.18241mm,116.26821mm,B
RA529,120.96321mm,116.26821mm,B
RA530,119.71861mm,116.24281mm,B
UA501,111.8514mm,121.0738mm,B
RA502,107.85121mm,116.68799mm,B
RA501,107.85121mm,119.15179mm,B
RA534,140.18521mm,116.15061mm,B
RA533,141.42981mm,116.17601mm,B
RA532,142.64901mm,116.17601mm,B
RA531,143.91901mm,116.17601mm,B
UA504,141.73722mm,120.98901mm,B
RA522,137.34041mm,119.98601mm,B
RA520,137.36581mm,117.39521mm,B
RA521,146.02721mm,119.83361mm,B
RA513,140.79481mm,125.42161mm,B
RA514,138.78821mm,127.22501mm,B
RA512,142.44581mm,127.19961mm,B
RA511,144.17301mm,125.39621mm,B
RA526,129.86181mm,116.22101mm,B
RA525,131.10641mm,116.24641mm,B
RA524,132.32561mm,116.24641mm,B
RA523,133.59561mm,116.24641mm,B
UA502,131.41382mm,121.0594mm,B
RA517,127.01701mm,120.05641mm,B
RA515,127.04241mm,117.46561mm,B
RA516,135.70381mm,119.90401mm,B
RA505,130.47141mm,125.49201mm,B
RA506,128.46481mm,127.29541mm,B
RA504,132.12241mm,127.27001mm,B
RA503,133.84961mm,125.46661mm,B
DA501,152.30042mm,138.87682mm,B
FA501,152.32581mm,133.84581mm,B
RA407,59.70641mm,125.4884mm,B
RA408,57.97921mm,127.2918mm,B
RA410,54.32161mm,127.3172mm,B
RA409,56.32821mm,125.5138mm,B
RA419,61.56061mm,119.9258mm,B
RA418,52.89921mm,117.4874mm,B
RA435,52.87381mm,120.0782mm,B
UA403,57.27062mm,121.0812mm,B
RA427,59.45241mm,116.2682mm,B
RA428,58.18241mm,116.2682mm,B
RA429,56.96321mm,116.2682mm,B
RA430,55.71861mm,116.2428mm,B
UA401,47.85141mm,121.07379mm,B
RA402,43.85121mm,116.68799mm,B
RA401,43.85121mm,119.15179mm,B
RA434,76.18521mm,116.1506mm,B
RA433,77.42981mm,116.176mm,B
RA432,78.64901mm,116.176mm,B
RA431,79.91901mm,116.176mm,B
UA404,77.73722mm,120.989mm,B
RA422,73.34041mm,119.986mm,B
RA420,73.36581mm,117.3952mm,B
RA421,82.02721mm,119.8336mm,B
RA413,76.79481mm,125.4216mm,B
RA414,74.78821mm,127.225mm,B
RA412,78.44581mm,127.1996mm,B
RA411,80.17301mm,125.3962mm,B
RA426,65.86181mm,116.221mm,B
RA425,67.10641mm,116.2464mm,B
RA424,68.32561mm,116.2464mm,B
RA423,69.59561mm,116.2464mm,B
UA402,67.41382mm,121.0594mm,B
RA417,63.01701mm,120.0564mm,B
RA415,63.04241mm,117.4656mm,B
RA416,71.70381mm,119.904mm,B
RA405,66.47141mm,125.492mm,B
RA406,64.46481mm,127.2954mm,B
RA404,68.12241mm,127.27mm,B
RA403,69.84961mm,125.4666mm,B
DA401,88.30042mm,138.87681mm,B
FA401,88.32582mm,133.84581mm,B
JP601,219.34002mm,122.73002mm,B
JP501,155.34001mm,122.73001mm,B
JP401,91.34001mm,122.73mm,B
JP301,48.66001mm,20.27mm,B
JP201,112.66001mm,20.27mm,B
FA101,179.67421mm,9.15419mm,B
DA101,179.6996mm,4.12318mm,B
RA103,198.15041mm,17.5334mm,B
RA104,199.87761mm,15.73mm,B
RA106,203.53521mm,15.7046mm,B
RA105,201.52861mm,17.508mm,B
RA116,196.29621mm,23.096mm,B
RA115,204.95761mm,25.5344mm,B
RA117,204.98301mm,22.9436mm,B
UA102,200.5862mm,21.9406mm,B
RA123,198.40441mm,26.7536mm,B
RA124,199.67441mm,26.7536mm,B
RA125,200.89361mm,26.7536mm,B
RA126,202.13821mm,26.779mm,B
RA111,187.82701mm,17.6038mm,B
RA112,189.55421mm,15.8004mm,B
RA114,193.21181mm,15.775mm,B
RA113,191.20521mm,17.5784mm,B
RA121,185.97281mm,23.1664mm,B
RA120,194.63421mm,25.6048mm,B
RA122,194.65961mm,23.014mm,B
UA104,190.2628mm,22.011mm,B
RA131,188.08101mm,26.824mm,B
RA132,189.35101mm,26.824mm,B
RA133,190.57021mm,26.824mm,B
RA134,191.81481mm,26.8494mm,B
RA101,224.14881mm,23.84821mm,B
RA102,224.14881mm,26.31201mm,B
UA101,220.14861mm,21.9262mm,B
RA130,212.28141mm,26.7572mm,B
RA129,211.03681mm,26.7318mm,B
RA128,209.81761mm,26.7318mm,B
RA127,208.54761mm,26.7318mm,B
UA103,210.7294mm,21.9188mm,B
RA135,215.12621mm,22.9218mm,B
RA118,215.10081mm,25.5126mm,B
RA119,206.43941mm,23.0742mm,B
RA109,211.67181mm,17.4862mm,B
RA110,213.67841mm,15.6828mm,B
RA108,210.02081mm,15.7082mm,B
RA107,208.29361mm,17.5116mm,B
JP101,176.66mm,20.27mm,B
CA803,157.46186mm,45.86742mm,B
CA852,159.11032mm,50.1905mm,B
CA853,125.71542mm,53.26533mm,B
CA841,124.24222mm,48.36314mm,B
CA843,123.29988mm,52.67859mm,B
RA809,157.29676mm,54.60502mm,B
RA803,163.43086mm,52.78892mm,B
RA802,119.8678mm,93.95252mm,B
CA801,121.3156mm,94.00332mm,B
CA806,156.57032mm,50.5842mm,B
RA816,149.18248mm,84.93914mm,B
CA850,140.86477mm,79.93533mm,B
CA849,139.78527mm,80.91323mm,B
RA829,135.21327mm,90.89543mm,B
RA828,140.52187mm,91.22564mm,B
RA827,151.21448mm,89.39684mm,B
RA826,151.08748mm,92.80044mm,B
RA831,151.77328mm,76.08724mm,B
RA830,151.82408mm,85.25664mm,B
RA818,138.31888mm,84.0812mm,B
RA817,143.70328mm,81.90066mm,B
CA858,137.75327mm,88.03792mm,B
CA860,147.07507mm,90.73032mm,B
CA859,151.84948mm,80.54494mm,B
CA848,134.79338mm,78.94473mm,B
CA831,138.01997mm,90.24773mm,B
CA830,149.18327mm,90.89543mm,B
CA832,149.53887mm,80.45603mm,B
RA815,142.81428mm,68.97206mm,B
CA871,131.06393mm,92.75558mm,B
RA825,122.62678mm,64.74614mm,B
CA810,136.72379mm,85.90435mm,B
CA817,133.79468mm,76.42303mm,B
CA808,127.30498mm,68.71413mm,B
CA855,127.25623mm,90.91455mm,B
CA854,127.28164mm,89.13656mm,B
CA819,136.88069mm,77.86963mm,B
CA813,140.28889mm,71.39723mm,B
CA820,138.28229mm,76.37563mm,B
CA815,138.82389mm,82.41743mm,B
CA821,136.93609mm,79.85543mm,B
CA816,147.82313mm,82.95398mm,B
CA822,137.89947mm,79.92982mm,B
CA812,128.82079mm,79.79193mm,B
CA823,135.28509mm,76.35023mm,B
CA814,136.78728mm,72.91223mm,B
CA824,140.29277mm,76.40934mm,B
CA811,128.26928mm,86.42654mm,B
CA818,137.75327mm,73.92822mm,B
CA809,147.40448mm,71.08343mm,B
RA823,122.62678mm,70.71514mm,B
UA808,131.05728mm,89.90313mm,B
CA851,119.59148mm,53.18913mm,B
RA821,122.55058mm,76.68413mm,B
RA822,122.55058mm,78.46214mm,B
RA833,122.62678mm,66.52414mm,B
RA824,122.62678mm,72.49313mm,B
RA812,136.9187mm,51.308mm,B
CA840,134.26145mm,49.38875mm,B
CA839,138.99856mm,56.65823mm,B
CA838,136.99195mm,55.48983mm,B
CA837,133.10508mm,56.16094mm,B
CA836,140.69521mm,56.07794mm,B
CA835,142.05925mm,55.89115mm,B
CA834,143.41815mm,56.18325mm,B
CA833,140.94711mm,53.89214mm,B
CA829,138.9298mm,48.50501mm,B
CA828,142.44026mm,48.18225mm,B
CA827,132.11516mm,47.69964mm,B
RA813,135.73465mm,48.98235mm,B
CA865,152.50398mm,56.85264mm,B
CA869,152.59348mm,52.63398mm,B
CA868,149.58254mm,55.60283mm,B
CA870,149.52436mm,51.25222mm,B
RA836,151.28965mm,48.01372mm,B
RA840,153.96936mm,52.56539mm,B
RA838,149.54976mm,58.49122mm,B
CA804,118.11828mm,48.28693mm,B
CA802,162.61806mm,50.21082mm,B
CA807,162.59266mm,48.12802mm,B
CA805,117.17594mm,52.6024mm,B
RA801,125.3034mm,96.72112mm,B
CA847,158.86431mm,95.0468mm,B
CA863,159.02941mm,97.3074mm,B
R624,58.38116mm,61.81974mm,B
C624,101.92946mm,60.17913mm,B
C605,104.32976mm,58.75904mm,B
C637,106.64116mm,58.67014mm,B
C609,97.54796mm,57.15884mm,B
C607,96.64626mm,60.09254mm,B
C627,101.75166mm,56.89214mm,B
C635,102.55176mm,41.28384mm,B
C634,100.24036mm,41.37274mm,B
C629,106.47606mm,40.48374mm,B
C626,106.31096mm,42.82054mm,B
C625,101.95486mm,51.74633mm,B
C606,104.35516mm,50.32624mm,B
C636,106.66656mm,50.23734mm,B
C610,97.57336mm,48.74565mm,B
C608,96.67166mm,51.67935mm,B
C628,101.77706mm,48.45934mm,B
C826,108.73996mm,66.54943mm,B
R807,95.62185mm,73.47672mm,B
R806,108.43615mm,76.25802mm,B
C810,106.78515mm,66.58062mm,B
C811,95.64626mm,79.64313mm,B
C807,100.38435mm,66.55522mm,B
C813,106.27715mm,80.60142mm,B
C814,97.71735mm,66.50442mm,B
C812,100.76535mm,80.60142mm,B
C809,108.43615mm,72.90522mm,B
C831,103.62285mm,68.14272mm,B
C822,102.67035mm,65.51382mm,B
C816,104.44835mm,65.51382mm,B
C830,98.25075mm,70.97482mm,B
C821,95.62185mm,71.92732mm,B
C815,95.62185mm,70.14932mm,B
C829,98.25075mm,76.02942mm,B
C820,95.62185mm,76.98192mm,B
C818,95.62185mm,75.20392mm,B
C828,103.47045mm,77.97252mm,B
C819,104.42295mm,80.60142mm,B
C817,102.64495mm,80.60142mm,B
C823,87.26099mm,82.63237mm,B
C824,86.46089mm,80.29557mm,B
C827,86.65139mm,75.41877mm,B
C825,86.46089mm,77.78097mm,B
R802,92.71256mm,71.12143mm,B
R805,95.06206mm,67.22253mm,B
R801,110.70846mm,73.80113mm,B
C613,58.36265mm,46.19874mm,B
C602,61.29635mm,47.78624mm,B
C614,70.69435mm,52.28204mm,B
C615,68.71315mm,52.25664mm,B
C630,53.25036mm,67.14104mm,B
C631,50.65956mm,67.14104mm,B
C642,60.7205mm,58.46648mm,B
C641,57.4058mm,57.50382mm,B
C603,47.08106mm,46.04634mm,B
C617,50.01476mm,47.63384mm,B
C616,58.36265mm,51.02474mm,B
C618,61.29635mm,52.61224mm,B
C612,58.36265mm,39.79794mm,B
C611,61.29635mm,41.38544mm,B
R405,217.55402mm,71.33821mm,B
C402,215.01592mm,73.30841mm,B
R406,217.55402mm,66.76621mm,B
C401,215.01592mm,68.73641mm,B
C404,199.11601mm,69.36998mm,B
C405,208.43521mm,69.19218mm,B
C410,186.09201mm,79.6035mm,B
C408,188.88601mm,79.8194mm,B
C409,198.88129mm,77.22921mm,B
C407,198.74159mm,80.02321mm,B
C406,210.60411mm,79.2734mm,B
C403,210.74381mm,76.6572mm,B
L401,215.91899mm,80.3473mm,B
D601,54.45916mm,58.78688mm,B
C801,76.78346mm,69.84614mm,B
C802,76.24824mm,65.50456mm,B
R724,43.43585mm,74.92345mm,B
C724,85.77506mm,100.79373mm,B
C705,88.17536mm,99.37364mm,B
C737,90.48676mm,99.28474mm,B
C709,81.39356mm,97.77344mm,B
C707,80.49186mm,100.70714mm,B
C727,85.59726mm,97.50674mm,B
C735,75.37396mm,93.46295mm,B
C734,75.28506mm,91.15155mm,B
C729,76.17406mm,97.38725mm,B
C726,73.83726mm,97.22215mm,B
C725,85.80046mm,92.31013mm,B
C706,88.20076mm,90.89004mm,B
C736,90.51216mm,90.80114mm,B
C710,81.41896mm,89.30945mm,B
C708,80.51726mm,92.24315mm,B
C728,85.62266mm,89.02314mm,B
C713,36.87986mm,89.54545mm,B
C702,35.29236mm,92.47915mm,B
C714,30.79656mm,101.87715mm,B
C715,30.82196mm,99.89595mm,B
C730,53.42816mm,75.77704mm,B
C731,50.83736mm,75.77704mm,B
C742,45.30274mm,72.03013mm,B
C741,41.98804mm,71.06747mm,B
C703,37.03226mm,78.26385mm,B
C717,35.44476mm,81.19755mm,B
C716,32.05386mm,89.54545mm,B
C718,30.46636mm,92.47915mm,B
C712,43.28066mm,89.54545mm,B
C711,41.69316mm,92.47915mm,B
D701,39.0414mm,72.35053mm,B
CA173,32.30301mm,64.2046mm,B
CA172,37.28141mm,47.5422mm,B
CA171,37.25601mm,57.6514mm,B
CA152,23.26589mm,17.84022mm,B
CA151,33.19201mm,35.655mm,B
C24,169.27481mm,49.0862mm,B
C23,169.27481mm,51.9818mm,B
RA207,144.29361mm,17.5116mm,B
RA208,146.02081mm,15.7082mm,B
RA210,149.67841mm,15.6828mm,B
RA209,147.67181mm,17.4862mm,B
RA219,142.43941mm,23.0742mm,B
RA218,151.10081mm,25.5126mm,B
RA235,151.12621mm,22.9218mm,B
UA203,146.7294mm,21.9188mm,B
RA227,144.54761mm,26.7318mm,B
RA228,145.81761mm,26.7318mm,B
RA229,147.03681mm,26.7318mm,B
RA230,148.28141mm,26.7572mm,B
UA201,156.14862mm,21.9262mm,B
RA202,160.14881mm,26.31201mm,B
RA201,160.14881mm,23.84821mm,B
RA234,127.81481mm,26.8494mm,B
RA233,126.57021mm,26.824mm,B
RA232,125.35101mm,26.824mm,B
RA231,124.08101mm,26.824mm,B
UA204,126.2628mm,22.011mm,B
RA222,130.65961mm,23.014mm,B
RA220,130.63421mm,25.6048mm,B
RA221,121.97281mm,23.1664mm,B
RA213,127.20521mm,17.5784mm,B
RA214,129.21181mm,15.775mm,B
RA212,125.55421mm,15.8004mm,B
RA211,123.82701mm,17.6038mm,B
RA226,138.13821mm,26.779mm,B
RA225,136.89361mm,26.7536mm,B
RA224,135.67441mm,26.7536mm,B
RA223,134.40441mm,26.7536mm,B
UA202,136.5862mm,21.9406mm,B
RA217,140.98301mm,22.9436mm,B
RA215,140.95761mm,25.5344mm,B
RA216,132.29621mm,23.096mm,B
RA205,137.52861mm,17.508mm,B
RA206,139.53521mm,15.7046mm,B
RA204,135.87761mm,15.73mm,B
RA203,134.15041mm,17.5334mm,B
DA201,115.6996mm,4.12318mm,B
FA201,115.67421mm,9.15419mm,B
RA307,80.29361mm,17.5116mm,B
RA308,82.02081mm,15.7082mm,B
RA310,85.67841mm,15.6828mm,B
RA309,83.67181mm,17.4862mm,B
RA319,78.43941mm,23.0742mm,B
RA318,87.10081mm,25.5126mm,B
RA335,87.12621mm,22.9218mm,B
UA303,82.72941mm,21.9188mm,B
RA327,80.54761mm,26.7318mm,B
RA328,81.81761mm,26.7318mm,B
RA329,83.03681mm,26.7318mm,B
RA330,84.28141mm,26.7572mm,B
UA301,92.14862mm,21.92621mm,B
RA302,96.14881mm,26.31201mm,B
RA301,96.14881mm,23.84821mm,B
RA334,63.81481mm,26.8494mm,B
RA333,62.57021mm,26.824mm,B
RA332,61.35101mm,26.824mm,B
RA331,60.08101mm,26.824mm,B
UA304,62.2628mm,22.011mm,B
RA322,66.65961mm,23.014mm,B
RA320,66.63421mm,25.6048mm,B
RA321,57.97281mm,23.1664mm,B
RA313,63.20521mm,17.5784mm,B
RA314,65.21181mm,15.775mm,B
RA312,61.55421mm,15.8004mm,B
RA311,59.82701mm,17.6038mm,B
RA326,74.13821mm,26.779mm,B
RA325,72.89361mm,26.7536mm,B
RA324,71.67441mm,26.7536mm,B
RA323,70.40441mm,26.7536mm,B
UA302,72.5862mm,21.9406mm,B
RA317,76.98301mm,22.9436mm,B
RA315,76.95761mm,25.5344mm,B
RA316,68.29621mm,23.096mm,B
RA305,73.52861mm,17.508mm,B
RA306,75.53521mm,15.7046mm,B
RA304,71.87761mm,15.73mm,B
RA303,70.15041mm,17.5334mm,B
DA301,51.6996mm,4.12319mm,B
FA301,51.67421mm,9.15419mm,B
CA127,143.88775mm,179.94329mm,B
CA130,143.92585mm,178.36849mm,B
CA126,143.96395mm,175.09189mm,B
CA125,143.90045mm,176.56509mm,B
CA128,139.55705mm,176.51429mm,B
CA129,139.51895mm,178.06369mm,B
CA227,79.63881mm,179.9433mm,B
CA230,79.67691mm,178.3685mm,B
CA226,79.71501mm,175.0919mm,B
CA225,79.65151mm,176.5651mm,B
CA228,75.30811mm,176.5143mm,B
CA229,75.27001mm,178.0637mm,B
CA427,97.81655mm,224.95353mm,B
CA430,97.77845mm,226.52833mm,B
CA426,97.74035mm,229.80493mm,B
CA425,97.80385mm,228.33173mm,B
CA428,102.14725mm,228.38253mm,B
CA429,102.18535mm,226.83313mm,B
CA527,186.11655mm,242.43813mm,B
CA530,186.07845mm,244.01293mm,B
CA526,186.04035mm,247.28953mm,B
CA525,186.10385mm,245.81633mm,B
CA528,190.44725mm,245.86713mm,B
CA529,190.48535mm,244.31773mm,B
RA908,137.8231mm,206.34811mm,B
RA906,140.4012mm,203.68111mm,B
CA924,136.9214mm,203.69381mm,B
CA923,138.6994mm,203.69381mm,B
RA904,105.61609mm,253.60344mm,B
RA903,107.54649mm,257.03244mm,B
RA902,107.59729mm,253.57804mm,B
CA915,110.83618mm,256.71748mm,B
UA901,111.10288mm,253.74569mm,B
RA901,114.73894mm,253.79357mm,B
CA922,137.61913mm,219.99314mm,B
RA911,140.96045mm,210.5651mm,B
LA906,144.07611mm,197.87577mm,B
CA902,157.68374mm,203.07813mm,B
CA907,142.73806mm,199.62692mm,B
CA904,156.39111mm,201.83075mm,B
LA907,148.54828mm,217.97358mm,B
LA904,159.76462mm,209.90033mm,B
LA902,153.97124mm,198.48482mm,B
LA903,148.4944mm,197.69617mm,B
RA907,141.10421mm,207.3977mm,B
UA902,148.83566mm,208.63411mm,B
CA909,146.70733mm,219.25776mm,B
CA906,158.39962mm,211.30125mm,B
CA917,155.01674mm,200.51273mm,B
CA905,149.65285mm,199.591mm,B
LA910,126.71379mm,255.91724mm,B
FA901,124.64369mm,251.05314mm,B
RA910,140.60973mm,213.05241mm,B
RA909,143.23044mm,214.7637mm,B
CA927,128.52989mm,251.05314mm,B
