Designator,x,y,Layer
,,,
U15,-7.5062mm,-50.8026mm,T
U14,63.6392mm,-54.4094mm,T
R0,180.1109mm,-6.6066mm,T
R0,184.34mm,-35.5372mm,T
,196.65742mm,-13.25366mm,T
1,210.17023mm,-34.38646mm,T
U49,210.21921mm,-43.5274mm,T
U48,196.70643mm,-22.3946mm,T
J7,183.48479mm,-65.15362mm,T
J8,173.99321mm,-10.84699mm,T
C241,215.9596mm,-51.8586mm,T
C243,191.42323mm,-35.2724mm,T
DS8,205.8769mm,-57.68446mm,T
LD9,180.022mm,-16.6142mm,T
LD10,214.08337mm,-26.16463mm,T
R147,208.216mm,-26.1392mm,T
DS9,190.5276mm,-50.7286mm,T
D28,174.2093mm,-53.62203mm,T
D29,163.2525mm,-53.62203mm,T
U13,159.61024mm,-37.76605mm,T
U12,176.63439mm,-25.30298mm,T
C71,160.18622mm,-16.28402mm,T
C69,179.49127mm,-43.2826mm,T
C68,169.83799mm,-38.30622mm,T
C70,166.718mm,-26.84881mm,T
R24,172.402mm,-16.8682mm,T
J4,130.79001mm,-10.90863mm,T
F3,13.41282mm,-65.15363mm,T
F4,46.86462mm,-62.81682mm,T
J5,30.71621mm,-65.15363mm,T
C6,102.74461mm,-29.59363mm,T
D3,91.4947mm,-53.62203mm,T
D1,80.5379mm,-53.62203mm,T
J1,85.7266mm,-65.15362mm,T
U2,93.44046mm,-32.21236mm,T
U1,80.08766mm,-32.31143mm,T
R1,92.98734mm,-35.89537mm,T
C5,89.60504mm,-32.05997mm,T
U3,104.94418mm,-38.87723mm,T
R2,104.49106mm,-42.56025mm,T
C8,101.10876mm,-38.72485mm,T
C4,92.19343mm,-42.56286mm,T
C2,79.83379mm,-42.62383mm,T
C1,76.30321mm,-22.53243mm,T
C7,103.40501mm,-53.19023mm,T
C3,89.40961mm,-22.53243mm,T
C14,143.81641mm,-29.36503mm,T
U5,133.52408mm,-32.21236mm,T
U4,120.17128mm,-32.31143mm,T
R3,133.07096mm,-35.89537mm,T
C13,129.68866mm,-32.05997mm,T
U6,145.06069mm,-38.1762mm,T
R4,144.60757mm,-41.85921mm,T
C16,141.22526mm,-38.02382mm,T
U10,35.86545mm,-40.4391mm,T
U11,58.6808mm,-27.69662mm,T
C26,36.39062mm,-29.44728mm,T
D16,41.24118mm,-53.41829mm,T
D18,52.19799mm,-53.4183mm,T
D6,119.85951mm,-53.39343mm,T
D8,130.81631mm,-53.39343mm,T
C12,132.27705mm,-42.56287mm,T
C10,119.9174mm,-42.62383mm,T
D5,101.34761mm,-18.11282mm,T
C29,60.18341mm,-42.71938mm,T
C28,47.29642mm,-42.70003mm,T
C27,47.2726mm,-29.44681mm,T
R9,51.71601mm,-20.11943mm,T
C9,119.83881mm,-22.45623mm,T
C15,144.14661mm,-53.31723mm,T
C11,132.15781mm,-22.35463mm,T
D11,2.68692mm,-53.37819mm,T
D14,13.64372mm,-53.37819mm,T
C18,1.19542mm,-42.72543mm,T
C17,-0.86198mm,-20.52583mm,T
C23,25.85882mm,-51.61543mm,T
C24,25.50321mm,-29.36503mm,T
C21,16.10521mm,-20.52583mm,T
C20,14.38297mm,-42.70003mm,T
D10,144.65461mm,-15.72523mm,T
D15,25.96041mm,-21.97363mm,T
U8,15.54376mm,-32.33936mm,T
U7,2.26222mm,-30.33023mm,T
R7,15.09064mm,-36.02237mm,T
C19,11.70834mm,-32.18697mm,T
U9,26.85177mm,-38.4556mm,T
R8,26.39865mm,-42.13861mm,T
C25,23.01634mm,-38.30322mm,T
D19,61.19021mm,-20.04323mm,T
D17,43.79121mm,-20.19563mm,T
D13,9.22982mm,-21.36962mm,T
R6,9.20442mm,-15.88321mm,T
D12,6.23262mm,-21.44582mm,T
R5,6.25802mm,-15.85781mm,T
D4,96.69941mm,-18.26522mm,T
D2,83.05961mm,-18.23982mm,T
D9,139.01581mm,-21.18623mm,T
D7,119.88961mm,-15.44582mm,T
C22,13.36202mm,-60.98803mm,T
J6,35.953mm,-10.90862mm,T
J3,129.7484mm,-65.15362mm,T
F2,141.37801mm,-62.96923mm,T
F1,95.37622mm,-62.96923mm,T
J2,85.66361mm,-10.90863mm,T
U16,216.5726mm,-17.554mm,T
U17,157.4922mm,-27.1806mm,T
U18,148.6276mm,-64.163mm,T
U19,105.0158mm,-63.6296mm,T
